tenure_months,monthly_spend,support_tickets,contract,region,churn
29,56.01,3,annual,north,yes
20,87.66,5,two_year,south,yes
57,136.25,1,two_year,south,no
46,114.56,1,two_year,west,no
47,59.63,6,annual,east,yes
2,105.05,2,monthly,west,yes
54,125.17,8,annual,west,yes
64,58.43,2,two_year,west,no
2,90.86,4,annual,north,yes
68,60.05,6,annual,west,yes
46,63.81,5,monthly,east,yes
42,82.41,6,annual,east,yes
64,127.9,5,monthly,south,yes
3,49.69,8,annual,east,yes
20,57.65,3,annual,south,no
42,107.12,5,two_year,east,yes
44,131.38,2,two_year,south,yes
63,33.48,8,two_year,west,no
72,119.25,1,two_year,south,no
62,124.72,2,monthly,west,no
20,98.23,6,monthly,north,yes
24,50.95,4,annual,south,yes
14,129.17,3,two_year,north,yes
65,105.91,7,two_year,south,yes
13,94.38,5,two_year,south,yes
52,98.88,3,two_year,west,no
29,74.0,5,annual,east,yes
52,50.84,5,two_year,south,yes
29,99.66,3,two_year,north,no
57,53.09,8,monthly,south,yes
4,29.76,8,two_year,south,yes
64,136.02,1,annual,north,no
8,48.78,3,two_year,south,no
66,122.28,0,annual,north,no
38,72.57,3,monthly,east,yes
29,87.03,8,two_year,east,yes
21,126.41,3,monthly,south,yes
61,138.36,2,monthly,east,yes
70,124.9,1,two_year,south,no
62,79.97,7,monthly,east,yes
6,51.59,4,two_year,south,no
1,121.22,5,annual,east,yes
7,53.05,1,two_year,west,no
60,71.98,4,annual,south,yes
26,29.38,7,two_year,south,yes
29,63.91,1,monthly,east,yes
4,49.22,2,two_year,east,yes
10,107.03,7,annual,south,yes
55,137.43,4,annual,west,yes
27,95.62,8,two_year,west,yes
17,79.06,8,annual,north,yes
8,37.86,6,two_year,south,yes
54,53.4,7,monthly,south,yes
64,48.5,4,two_year,south,yes
21,90.99,5,two_year,north,yes
49,55.06,7,annual,north,yes
33,37.65,5,monthly,south,yes
1,73.42,5,monthly,north,yes
44,49.19,2,annual,east,no
13,36.46,3,annual,south,no
20,82.75,6,two_year,north,yes
8,122.43,0,two_year,west,yes
12,48.31,2,monthly,east,yes
40,88.05,0,monthly,north,no
71,96.55,4,monthly,east,yes
12,25.33,4,monthly,east,yes
72,84.08,6,monthly,south,yes
20,133.72,7,monthly,west,yes
66,36.03,7,monthly,north,yes
10,44.7,6,annual,east,yes
68,128.41,4,annual,west,yes
20,36.52,3,monthly,south,yes
39,25.05,3,annual,east,yes
8,107.7,1,monthly,east,yes
15,54.53,6,two_year,west,yes
39,101.56,8,two_year,north,yes
38,88.07,3,monthly,north,no
61,118.45,0,annual,north,no
23,91.37,4,two_year,south,yes
45,86.42,7,annual,east,yes
36,113.34,2,two_year,west,no
14,90.34,4,annual,east,yes
72,40.62,7,monthly,west,yes
31,69.73,2,annual,north,no
48,59.01,3,monthly,east,yes
58,101.36,8,two_year,north,yes
6,43.53,2,annual,south,no
6,109.19,5,annual,south,yes
58,132.34,7,monthly,south,yes
43,71.3,2,monthly,south,yes
50,139.67,1,two_year,south,no
35,34.01,8,annual,west,yes
62,123.32,1,monthly,east,yes
42,127.93,6,annual,west,yes
10,29.64,0,two_year,west,no
51,129.9,8,monthly,west,yes
36,46.61,6,annual,south,yes
55,124.55,0,monthly,east,no
58,80.32,1,annual,east,no
6,81.82,5,two_year,east,yes
54,67.28,6,annual,west,yes
52,42.31,7,monthly,south,yes
53,83.16,8,monthly,east,yes
2,118.23,5,two_year,south,yes
51,57.8,8,two_year,south,yes
42,59.27,8,annual,south,yes
21,58.12,5,two_year,north,yes
21,51.27,3,two_year,east,no
11,49.7,3,monthly,south,yes
15,73.14,0,monthly,west,no
57,126.65,4,monthly,south,yes
23,56.53,4,monthly,south,yes
22,138.26,8,two_year,north,yes
65,92.61,7,two_year,east,yes
63,27.65,3,annual,east,no
72,79.6,7,annual,north,yes
64,81.59,2,monthly,south,yes
57,68.49,0,two_year,south,no
12,111.1,8,two_year,south,yes
30,138.46,0,two_year,west,no
33,126.44,6,two_year,west,yes
70,58.2,7,monthly,north,yes
65,139.49,0,two_year,east,no
71,112.73,6,monthly,east,yes
28,31.28,0,monthly,east,no
1,84.32,6,two_year,east,yes
71,71.89,6,annual,north,yes
46,99.79,4,monthly,south,yes
47,73.05,1,two_year,south,no
30,69.75,6,monthly,east,yes
41,135.35,6,monthly,east,yes
6,58.35,3,two_year,east,no
56,30.94,7,annual,north,yes
4,28.55,1,annual,east,no
71,42.34,6,annual,south,yes
32,68.47,7,two_year,east,yes
72,117.48,2,monthly,west,yes
20,74.77,1,annual,south,no
25,135.49,2,monthly,west,yes
63,50.63,0,monthly,east,no
67,115.45,4,annual,east,no
68,109.29,2,monthly,east,yes
16,65.57,3,annual,west,yes
43,69.31,3,two_year,east,no
32,118.4,6,monthly,east,yes
34,39.37,5,monthly,south,yes
1,107.56,6,annual,south,yes
19,75.88,3,annual,east,no
12,52.04,6,monthly,east,yes
63,51.23,7,monthly,north,yes
23,67.89,0,monthly,west,no
3,79.4,7,monthly,east,yes
29,136.44,0,two_year,east,no
32,69.94,4,two_year,north,no
59,88.14,8,annual,north,yes
17,26.99,4,monthly,north,yes
42,136.76,6,annual,south,yes
6,83.72,5,monthly,east,yes
10,136.9,5,monthly,south,yes
32,100.66,7,monthly,south,yes
8,80.47,3,two_year,west,yes
27,112.85,6,monthly,north,yes
8,95.63,3,two_year,south,yes
56,105.54,3,monthly,east,yes
46,81.84,8,two_year,south,yes
56,38.49,4,annual,east,no
38,81.73,6,two_year,west,yes
29,87.53,7,annual,south,yes
47,87.79,2,monthly,west,yes
49,121.65,6,two_year,north,yes
11,74.97,1,two_year,south,no
34,102.76,8,two_year,south,yes
62,62.62,2,two_year,west,no
14,85.76,0,two_year,east,no
44,116.31,5,annual,east,yes
16,45.55,6,two_year,south,yes
13,117.41,8,two_year,west,yes
29,112.02,1,two_year,south,no
50,122.46,3,annual,south,no
48,105.42,7,monthly,west,yes
52,83.26,8,annual,east,yes
30,111.43,1,two_year,north,no
59,109.26,2,annual,west,no
17,78.06,2,two_year,east,yes
44,77.07,2,two_year,north,no
30,118.07,4,annual,east,yes
38,44.64,8,annual,west,yes
44,72.24,3,annual,south,yes
12,29.37,0,two_year,south,no
71,73.05,0,monthly,west,no
58,44.84,1,monthly,west,no
62,123.8,7,two_year,west,yes
30,48.76,7,annual,south,yes
23,94.3,6,two_year,east,yes
11,57.57,2,two_year,north,no
70,81.39,1,monthly,west,no
18,60.14,5,monthly,north,yes
1,68.03,6,monthly,north,yes
16,31.86,6,annual,south,yes
21,67.99,0,annual,west,no
34,117.46,1,annual,east,no
17,118.54,0,monthly,north,no
5,52.56,5,two_year,west,yes
8,103.27,8,two_year,north,yes
59,44.25,1,monthly,north,no
62,46.35,3,two_year,west,no
22,72.84,0,two_year,west,no
69,42.49,5,monthly,south,yes
43,53.07,7,monthly,east,yes
38,115.73,6,annual,north,yes
28,94.25,7,monthly,west,yes
21,116.69,8,annual,north,yes
39,45.03,8,monthly,south,yes
35,67.01,2,monthly,north,yes
65,96.69,3,annual,west,no
17,84.45,2,annual,east,yes
52,131.11,2,two_year,west,yes
38,103.55,1,two_year,north,no
72,74.81,0,annual,south,no
33,117.44,4,annual,west,yes
10,68.84,3,monthly,west,yes
57,127.91,0,two_year,north,no
19,112.6,8,monthly,south,yes
70,78.59,0,two_year,east,no
22,117.22,5,two_year,west,yes
10,126.06,3,monthly,east,yes
48,78.76,7,monthly,north,yes
52,91.31,0,two_year,south,no
11,66.23,3,two_year,north,yes
11,107.15,2,annual,east,yes
70,100.23,6,monthly,south,yes
59,37.23,5,annual,east,no
49,44.09,7,monthly,south,yes
50,87.0,8,two_year,north,yes
34,97.85,1,two_year,east,yes
55,47.56,7,monthly,west,yes
13,34.04,4,monthly,east,yes
30,124.63,6,monthly,west,yes
36,112.34,5,monthly,west,yes
9,61.58,5,annual,east,yes
50,102.59,4,two_year,west,yes
17,114.3,7,annual,north,yes
24,81.01,2,monthly,north,no
15,98.09,7,monthly,east,yes
55,96.42,6,two_year,south,yes
36,73.58,1,two_year,east,yes
39,134.91,1,two_year,west,no
16,137.61,0,two_year,west,no
45,118.57,6,monthly,north,yes
18,46.85,4,annual,north,yes
68,49.89,5,two_year,west,yes
55,128.65,5,annual,east,yes
46,133.01,3,annual,east,yes
1,82.86,6,annual,north,yes
50,73.87,1,monthly,north,no
22,28.3,1,monthly,east,no
68,93.56,4,two_year,north,no
22,102.05,8,annual,south,yes
32,89.14,1,monthly,west,no
61,34.9,6,monthly,north,yes
22,89.98,6,annual,north,yes
11,123.69,5,two_year,east,yes
13,43.03,4,annual,west,yes
44,85.13,8,annual,west,yes
40,139.98,7,two_year,west,yes
42,34.64,8,two_year,west,yes
12,71.51,1,monthly,east,yes
13,137.28,5,two_year,south,yes
72,52.09,6,two_year,east,yes
3,90.25,8,two_year,east,yes
13,65.75,5,monthly,north,yes
38,115.72,6,annual,east,yes
27,74.26,0,two_year,east,no
54,46.47,7,annual,west,yes
47,111.83,4,two_year,east,yes
3,99.7,8,two_year,east,yes
69,95.72,1,two_year,east,no
22,34.57,2,annual,east,no
34,84.61,4,two_year,north,yes
4,128.96,8,monthly,west,yes
65,88.27,5,annual,south,yes
36,26.45,3,annual,west,no
61,26.03,2,monthly,east,no
56,116.0,7,annual,south,yes
24,136.97,4,two_year,south,yes
20,79.96,1,two_year,east,yes
13,82.61,3,two_year,west,yes
28,68.99,7,two_year,south,yes
13,29.49,1,monthly,west,no
65,127.31,6,monthly,south,yes
5,134.65,6,two_year,west,yes
9,128.36,8,annual,east,yes
