fixed_acidity,residual_sugar,alcohol,sulphates,color,quality
5.85,0.98,12.65,1.1,red,high
5.72,4.18,12.61,0.8,white,medium
5.29,3.73,8.14,0.99,white,medium
8.08,1.81,9.35,0.97,white,medium
5.88,6.64,13.03,0.39,red,medium
5.04,2.24,10.48,0.65,red,high
9.32,1.16,13.13,0.53,red,medium
7.51,5.46,13.97,1.15,red,high
8.09,4.96,13.04,0.52,red,high
6.75,5.17,8.27,0.94,red,medium
8.78,7.87,12.07,0.31,white,low
6.66,1.84,9.54,0.47,red,medium
9.0,2.54,10.61,1.11,white,medium
5.3,4.72,12.76,0.66,white,high
5.39,1.57,12.74,0.64,white,medium
8.99,2.48,8.02,0.75,white,low
5.79,6.43,13.22,0.4,white,high
5.68,7.19,13.53,1.03,red,high
8.57,2.01,10.13,0.84,red,medium
6.34,5.38,11.06,1.2,white,medium
8.14,7.83,14.34,0.74,white,high
6.65,7.13,8.86,0.38,red,medium
6.17,5.69,12.03,0.68,white,high
6.53,2.04,10.45,0.77,white,medium
9.07,2.48,13.71,0.66,white,medium
8.61,8.82,13.73,0.65,white,medium
7.68,6.9,12.34,0.57,white,medium
6.61,5.11,8.98,0.36,red,low
9.47,6.04,10.27,1.05,red,low
8.81,1.32,8.4,0.48,red,low
6.53,4.94,9.53,0.39,red,low
8.65,4.33,10.82,0.97,red,medium
8.86,8.97,11.5,1.01,red,high
5.98,7.08,8.13,1.13,white,low
6.62,3.03,10.59,1.06,white,medium
6.2,6.42,10.62,0.63,white,medium
9.44,8.75,10.3,0.89,red,medium
5.98,8.07,12.77,0.94,red,high
7.86,6.92,14.33,0.85,red,high
8.19,8.74,12.27,0.34,white,low
6.68,3.59,12.39,0.55,red,medium
5.66,2.96,12.3,0.53,red,medium
8.84,7.7,14.0,0.72,red,high
5.32,2.44,11.78,0.45,white,medium
6.42,8.0,13.87,0.82,red,high
7.42,4.71,12.01,0.6,red,medium
8.13,2.02,10.93,0.39,red,medium
7.21,3.07,14.03,0.38,red,high
6.55,0.87,13.91,0.93,white,high
8.09,4.21,10.42,0.81,white,low
9.36,4.66,12.09,0.64,red,high
5.55,2.27,12.25,0.97,white,medium
4.96,6.18,10.83,0.85,white,high
6.59,6.18,14.06,0.96,white,high
4.85,2.56,9.03,1.18,red,high
5.44,4.05,8.22,0.47,red,low
9.02,2.28,12.75,0.35,red,high
6.89,0.98,13.78,0.89,white,high
4.82,7.12,10.67,0.68,red,medium
5.54,3.14,8.14,0.35,white,low
5.55,1.54,12.92,0.49,white,medium
5.78,8.21,13.98,0.64,white,medium
5.68,8.55,9.76,0.85,white,medium
4.86,7.37,14.1,0.33,red,high
8.13,2.63,13.66,1.03,white,medium
8.48,5.39,12.77,0.97,red,medium
5.64,1.91,12.4,0.81,red,medium
8.73,2.71,8.25,0.36,red,low
4.96,7.07,9.13,1.0,red,medium
6.85,7.37,9.36,0.72,white,low
9.13,6.79,9.11,0.73,red,low
4.91,7.16,13.17,0.98,white,high
6.11,1.69,9.5,1.04,red,medium
6.0,8.44,11.28,0.77,white,medium
7.24,8.05,12.27,0.86,red,high
8.8,7.38,11.57,0.86,red,low
7.55,0.9,8.75,0.43,red,low
7.73,7.52,10.34,1.01,white,medium
7.63,1.56,14.39,0.93,white,medium
9.25,8.56,12.58,0.74,white,medium
7.09,8.5,12.77,0.54,red,medium
6.88,4.39,9.87,0.47,red,low
7.67,8.17,14.42,0.7,white,high
9.44,8.88,12.58,0.5,white,medium
9.28,5.41,9.99,1.02,white,medium
5.59,7.03,9.82,1.06,red,high
7.49,5.68,10.54,0.4,white,medium
4.98,7.59,9.58,0.98,white,low
5.42,3.0,13.54,0.97,white,medium
5.23,5.49,9.36,0.63,white,low
6.93,6.79,13.59,0.91,white,high
7.66,5.21,12.47,0.93,white,high
5.74,3.24,13.79,0.61,red,high
9.07,5.41,9.77,1.06,red,low
7.43,3.99,10.53,0.89,red,low
7.09,2.82,12.76,0.37,red,high
5.72,6.4,10.88,0.68,red,medium
8.21,2.69,8.88,0.99,white,low
8.78,7.05,14.31,0.92,red,medium
6.01,7.12,8.57,0.49,red,low
7.02,5.43,8.42,0.6,white,low
5.22,1.83,13.67,0.96,red,high
5.06,8.91,14.14,0.42,white,high
6.32,1.87,10.34,0.89,white,medium
6.17,7.38,11.09,0.58,white,medium
9.36,3.01,11.67,0.76,red,medium
7.96,4.82,12.62,1.11,white,medium
5.64,1.07,8.78,0.77,red,medium
6.98,7.79,9.88,0.9,red,medium
5.09,7.03,12.19,0.58,white,medium
7.04,4.18,10.55,0.5,white,low
6.08,1.97,13.29,1.02,white,high
7.55,7.83,12.1,0.42,red,high
9.37,4.82,10.13,0.41,red,low
9.03,0.99,12.67,0.91,red,high
4.83,7.51,8.62,0.63,red,low
5.67,7.79,9.85,1.2,red,medium
7.07,5.44,13.32,0.7,red,high
9.18,6.68,11.43,0.85,white,low
6.62,8.73,13.39,0.72,red,high
6.06,1.59,13.9,1.08,white,high
5.21,0.93,10.95,0.92,white,high
7.08,2.3,9.0,0.55,red,low
8.21,1.95,9.23,0.87,white,medium
9.07,3.91,13.38,0.82,red,high
7.43,6.38,13.52,0.68,white,high
8.65,7.02,12.32,0.5,white,medium
5.97,7.16,13.92,0.7,white,high
6.4,7.52,13.09,0.84,white,medium
6.9,1.21,9.11,0.76,white,low
8.96,4.29,11.06,0.61,red,low
8.1,1.07,9.69,0.98,white,medium
5.75,5.56,12.64,0.83,red,high
9.28,8.97,11.05,0.34,white,medium
7.66,3.25,13.12,0.71,white,medium
4.81,2.37,12.5,0.82,white,high
